,sampateny,lettre
ambaka,"ambakaina, anambakana, fambaka, fanambaka, fanambakana, fifañambaka, mampañambaka, manambàka, mifañambaka, mpanambaka, pañambaka, pifañambaka, voambaka",A
ambakambaka,miambakambaka,A
ambakavaka,miambakavaka,A
ambala,ambalambala,A
ambalambala,"ambalambalaina, fiambalambala, fiambalambalana, iambalambalana, miambalambala, mpiambalambala",A
ambana,"mampanambana, mampifanambana, mifanambana",A
ambana,"ambanambana, ambanana, anambanana, fanambana, fanambanana, mahambana, manambana, mpanambana, voambana",A
ambane,"mahambane, mampañambane, mampiambane, mañambane, miambane, miambane, mifampañambane, mifañambane, mihaambane, mihambane, pañambane, piambane, pifampañambane, pifañambane, voambane",A
ambany,iambaniana,A
ambany,"ambanimbany, ambanina, anambaniana, fahambaniana, fanambaniana, mahambany, mampanambany, mampifanambany, manambany, miambany, mifanambany, mpanambany, tambany, tambany, voambany",A
ambara,"ambarambara, ampañambara, anambarana, fambara, fampañambara, fanambara, fanambarana, fifañambara, mampañambara, mampifanambara, manambara, mifampañambara, mifañambara, mpanambara, pañambara, pifampañambara, pifañambara, voambara",A
ambaraka,,A
ambatra,"ambatrambatra, fiambarana, fiambatra, iambarana, miambatra, mpiambatra",A
ambatrambatra,miambatrambatra,A
ambe,"aambe, faambe, mahambe, mampiambe, miambe, mifampiambe, mihamiambe, piambe, pifampiambe, voaambe",A
ambezo,"ambezoina, fiambezo, fiambezoana, iambezoana, mahambezo, miambezo, mpiambezo, tambezo",A
amby,ambiana,A
ambia,mañambia,A
ambina,ambinambina,A
ambina,"ambenana, fiambenana, fiambina, iambenana, mampanambina, mampiambina, mampifanambina, miambina, mifampiambina, mpiambina, voambina",A
ambina,"ambinina, anambinana, fanambina, fanambinana, manambina, mifanambina, mpanambina",A
ambo,,A
ambo,"haambo, hambosana",A
amboa,"mampanamboa, mampifanamboa, mifanamboa",A
amboa,"amboamboa, amboazina, anamboazana, fanamboa, fanamboazana, manamboa, mpanamboa",A
amboa,mahamboa,A
ambolo,animboloana,A
ambolo,"amboloina, ambolombolo, anamboloana, fanambolo, fanamboloana, mahambolo, manambolo, manimbolo, mpanambolo, voambolo",A
ambolombolo,manambolombolo,A
ambony,"ambonivony, fiamboniana, iamboniana, mampanambony, mampifanambony, miambony, mifañambony, pañambony, pifañambony",A
ambony,mahaambony,A
ambony,"ambonimbony, ambonina, anamboniana, fahambony, fahamboniana, fanamboniana, manambony, mpanambony",A
ambonimbony,fanambonimboniana,A
ambosy,"mampanambosy, mampifanambosy, mifanambosy",A
ambosy,"ambosiana, ambosina, anambosiana, fambosy, fambosiana, fanambosy, fanambosiana, mahambosy, mambosy, manambosy, mpambosy, mpanambosy, voambosy",A
