,sampateny,lettre
iva,"mampifaniva, maniva, mifaniva",I
ivaiva,"anivaivana, fanivaiva, fanivaivana",I
ivaka,"ivakivaka, mahaivaka, mampanivaka, mampifanivaka, manivaka, mifanivaka, voaivaka",I
ivakivaka,"aivakivaka, anivakivahana, fanivakivahana, fanivakivaka, ivakivahina, mahaivakivaka, manivakivaka, mpanivakivaka, voaivakivaka",I
ivy,"faivivy, ivivy, mpaivivy",I
ivivy,"aiviviana, faiviviana, maivivy, mivivy",I
ivo,"fanivoana, mpanivo",I
ivo,"anivo, anivoanana, anivony, fanivoanana, manivo, manivoana, mpanivoana",I
ivoho,"anivohoana, fanivoho, fanivohoana, manivoho, mpanivoho",I
izaho,"izahozaho, mizaho",I
izahozaho,"fizahozaho, fizahozahoana, izahozahoana, mizahozaho, mpizahozaho",I
izina,"anizinana, fanizinana, takizina",I
izina,"aizina, fanizina, haizina, izinina, mahizina, manizina, mpanizina",I
iziñy,maiziñy,I
jaba,"jabaina, jabajaba",J
jabajaba,"fijabajaba, fijabajabana, ijabajabana, mahajabajaba, mijabajaba, mpijabajaba",J
jabaka,mijabaka,J
jabely,"mijabely, mpijabely",J
jabo,"ampijabo, mahajabo, mampijabo, pijabo",J
jabo,mijabo,J
jadina,"fijadina, fijadinana, ijadinana, jadinjadina, mahajadina, mampijadina, mifampijadina, mijadina, mpijadina",J
jadona,"ajadona, ajadony, anajadonana, anjadonana, fanajadona, fanajadonana, fanjadona, fanjadonana, fijadona, fijadonana, ijadonana, jadonana, jadonjadona, jinadona, mahajadona, mampanajadona, mampifanajadona, manajadona, manjadona, mifampijadona, mifanajadona, mijadona, mpanajadona, mpanjadona, mpijadona, tafajadona, voajadona",J
jadona,jaradona,J
jafa,"jafajafa, mampijafa, mifampijafa",J
jafajafa,"ajafajafa, fijafajafa, fijafajafana, ijafajafana, mahajafajafa, mampijafajafa, mifampijafajafa, mijafajafa, mpijafajafa",J
jahidy,"fijahidy, fijahidiana, ijahidiana, jahidihidy, mahajahidy, mampijahidy, mifampijahidy, mijahidy, mpijahidy",J
jay,jaijay,J
jaijay,"fijaijay, fijaijaiana, fijaijajana, ijaijaiana, mahajaijay, mijaijay, mpijaijay",J
jaiko,"fijaiko, fijaikoana, ijaikoana, jaikoina, jaikojaiko, mahajaiko, mampijaiko, mifampijaiko, mijaiko, mpijaiko, voajaiko",J
jaikojaiko,mijaikojaiko,J
jaingy,"fijaingena, fijaingy, ijaingena, jaingijaingy, mahajaingy, mijaingy, mpijaingy",J
jaingijaingy,"fijaingijaingena, fijaingijaingy, mijaingijaingy",J
jaja,jajajaja,J
jajajaja,"ajajajaja, fijajajaja, fijajajajana, ijajajajana, mahajajajaja, mijajajaja, mpijajajaja",J
jajaka,mijajaka,J
jajirika,"ajajirika, anajajirihana, fanajajirihana, fanajajirika, fijajirihana, fijajirika, ijajirihana, jajirijirika, mahajajirika, manajajirika, mijajirika, mpanajajirika, mpijajirika, tafajajirika, voajajirika",J
jaka,"ajaka, anjakana, fanjaka, fanjakana, fijaka, fijakana, ijakana, jakajaka, jakana, mahajaka, mampanjaka, mampifanjaka, mampijaka, manjaka, mifampijaka, mijaka, mpijaka",J
jakake,mijakajakake,J
jako,jakojako,J
jakojako,"fijakojako, fijakojakoana, ijakojakoana, mijakojako",J
jakoko,"fijakoko, fijakokoana, ijakokoana, jakokokoko, mahajakoko, mijakoko, mpijakoko",J
jakoretra,"fijakoretana, fijakoretra, ijakoretana, jakoredretra, mahajakoretra, mijakoretra, mpijakoretra",J
jalajala,"fijalajala, fijalajalana, ijalajalana, mijalajala",J
jale,"mampijale, mihamijale, mijale, pijale",J
jaly,"ajaly, ampijaliana, ampijalina, fampijaliana, fijaly, fijaliana, ijaliana, jalijaly, mahajaly, mampijaly, mijaly, mpampijaly, mpijaly",J
jalijaly,fijalijaliana,J
jamala,manjamala,J
jamba,"ajamba, anajambana, fahajamba, fahajambana, fanajamba, fanajambana, fanjambana, hajamba, hajambaina, hajambana, jambaina, jambajamba, jambena, mahajamba, manajamba, mpanajamba, voajamba",J
jambena,"anajambenana, fahajambena, fanjambena, jambembena, jambenana, mahajambena, manajambena, manjambena, mpanjambena",J
jamoka,"fijam&ograve;ka, jamomòka, mahajam&ograve;ka, mijamòka, mpijamoka",J
jananaika,"ajananaika, fijananaika, mahajananaika, mijananaika, mpijananaika, tafajananaika",J
jananaka,"ajananaka, fijananaka, mahajananaka, mijananaka, mpijananaka, tafajananaka",J
janga,"hajanga, mankajanga, mihajanga",J
janga,"jangajanga, mijanga, mpijanga",J
jangaholo,mijangaholo,J
jangajanga,"fijangajanga, fijangajangana, ijangajangana, mijangajanga, mpijangajanga",J
jangy,"hajangiana, mpijangy",J
jangobo,"hajangobo, mahajangobo",J
jany,janina,J
janjana,"ajanjana, anjanjanana, fanjanjana, fanjanjanana, janjanana, janjanjanjana, jinanjana, mahajanjana, majanjana, mampanjanjana, mampifanjanjana, manjanjana, mifanjanjana, mpanjanjana, voajanjana",J
janje,fijanje,J
jano,"ajano, fajano, mahajano, mampijano, mañajano, mifampijano, mijano, pijano, voajano",J
janona,"ajanona, ampijanonana, ampijanonina, anajanonana, anjanonana, fanajanona, fanajanonana, fanjanona, fanjanonana, fijanona, fijanonana, ijanonana, janonjanona, mahajanona, mampijanona, manajanona, manjanona, mijanona, mijanona, mpanajanona, mpanjanona, mpijanona, tafajanona, voajanona",J
janonjanona,mijanonjanona,J
jao,mijao,J
japy,"fijapy, fijapiana, ijapiana, japina, mijapy, mpijapy, voajapy",J
jaradona,"ajaradona, anajaradonana, fanajaradona, fanajaradonana, fijaradona, fijaradonana, ijaradonana, jaradondradona, mahajaradona, manajaradona, mijaradona, mpanajaradona, mpijaradona, tafajaradona",J
jaridina,"ajaridina, anajaridinana, fanajaridina, fanajaridinana, fijaridina, fijaridinana, ijaridinana, jaridindridina, mahajaridina, manajaridina, mijaridina, mpijaridina, tafajaridina, voajaridina",J
jarika,"ajarika, anajarihana, fanajarihana, fanajarika, fijarihana, fijarika, ijarihana, jarijarika, mahajarika, manajarika, mijarika, mpanajarika, mpijarika, tafajarika, voajarika",J
jaroboka,"ajaroboka, anajarobohana, fanajarobohana, fanajaroboka, fijarobohana, fijaroboka, ijarobohana, jarobodroboka, mahajaroboka, manajaroboka, mijaroboka, mpanajaroboka, mpijaroboka, tafajaroboka, voajaroboka",J
java,"fanjava, hajava",J
jebe,mahajebe,J
jeby,jebena,J
jebijeby,"fanjebijeby, manjebijeby",J
jedaka,"ajedaka, anajedahana, fanajedahana, fanajedaka, manajedaka, mpanajedaka",J
jedana,"ajedana, anjedanana, fanajedana, fanjedana, fanjedanana, jedanjedana, mahajedana, manajedana, manjedana, voajedana",J
jefa,jefajefa,J
jefy,jefijefy,J
jefijefy,"fijefijefena, fijefijefy, ijefijefena, mahajefijefy, mijefijefy, mpijefijefy, tafajefijefy",J
jeho,"jehojeho, mijeho",J
jehojeho,"ajehojeho, fijehojeho, fijehojehoana, ijehojehoana, mahajehojeho, mijehojeho, mpijehojeho, tafajehojeho",J
jeja,"jejajeja, jejana",J
jejajeja,"ajejajeja, fijejajeja, fijejajejana, ijejajejana, jejajejaina, mahajejajeja, mijejajeja, mpijejajeja",J
jejaka,"fijejaka, mijejaka",J
jejy,jejijejy,J
jejijejy,"fijejijejy, mijejijejy",J
jejo,"fahajejo, fahajejoana, hajejo, hajejoana, jejojejo",J
jejojejo,"fijejojejo, fijejojejoana, ijejojejoana, mahajejojejo, mijejojejo, mpijejojejo",J
jeky,manjeky,J
jeky,mijeky,J
jelajelatra,manjelanjelatra,J
jelaka,mpanjelaka,J
jelatra,"anjelarana, fanjelarana, fanjelatra, jelajelatra, manjelatra, mpanjelatra",J
jemby,"jembena, jembijemby, mahajemby",J
jembijemby,mahajembijemby,J
jembijemby,"fanjembinjemby, manjembijemby, mpanjembijemby",J
jenitra,mahajenitra,J
jenje,mahajenje,J
jenjina,"anjenjenana, fahajenjenana, fahajenjina, fanjenjenana, fanjenjina, hajenjina, jenjenana, jenjinjenjina, mahajenjina, manjenjina, mpanjenjina, voajenjina",J
jeñoky,mijeñoky,J
jere,fijere,J
jere,"mahajere, mampijere, mifampijere",J
jery,"jerijery, jerijery",J
jery,"ajery, fijerena, fijery, ijerena, jerena, jinery, mahajery, mampijery, mifampijery, mijery, mpijery, voajery",J
jerijery,jerijerena,J
jeter,jeta,J
jetsy,mampijetsy,J
jy,mijy,J
jia,mahajia,J
jiake,"mahajiake, mampijiatse, voajiake",J
jiatse,manjiatse,J
jidina,"ajidina, fijidinana, ijidinana, mijidina",J
jifa,"fijifajifa, fijifajifana, mpijifajifa",J
jifa,"ajifa, anjifàna, fanjifa, fanjifana, jifaina, jifajifa, jinifa, mahajifa, majifa, manjifa, mpanjifa, voajifa",J
jifajifa,"ijifajifana, mahajifajifa, mijifajifa",J
jihy,"jihijihy, majihy",J
jihijihy,"fijihijihy, fijihijihiana, ijihijihiana, mijihijihy, mpijihijihy",J
jihina,"fijihina, fijihinana, ijihinana, mijihina",J
jihinjihina,mijihinjihina,J
jijy,"fijijy, ijijiana, mifampijijy, mijijy, mpijijy, voajijy",J
jijy,fijijiana,J
jijy,"jijina, mahajijy",J
jijijijy,"fijijijijy, fijijijijiana, hajijijijia, ijijijijiana, mahajijijijy, mijijijijy, mpijijijijy",J
jike,"hajike, mahajike, manjike, mihajike",J
jila,jilajila,J
jilajila,"fijilajila, fijilajilana, mijilajila",J
jilajila,"ijilajilana, mahajilajila, mpijilajila",J
jilatra,"anjilarana, fanjilarana, fanjilatra, jilajilatra, jilarina, manjilatra",J
jilo,"jilojilo, mampijilo, pijilo",J
jilojilo,"ajilojilo, fijilojilo, fijilojiloana, mahajilojilo, voajilojilo",J
jingy,jingina,J
jiny,"jinijiny, jinina",J
jinijiny,"fijinijiny, fijinijiniana, ijinijiniana, jinijinina, mahajinijiny, mijinijiny, mpijinijiny",J
jinika,majinika,J
jininika,"ajininika, fijininihana, fijininika, ijininihana, jininihina, mijininìka, tafajininika, voajininika",J
jinja,"ajinja, fijinja, fijinjana, ijinjana, jininja, jinjaina, jinjana, mahajinja, mifanjinja, mijinja, mpijinja, voajinja",J
jio,jiojio,J
jiotse,jiniotse,J
jirajira,"fijirajira, mijirajira",J
jirika,"ajirika, fijirihana, fijirika, ijirihana, jirihina, mahajirika, mijirika, mpijirika, voajirika",J
joaka,"fijoaka, joajoaka, mijoaka",J
joala,joalajoala,J
joalajoala,"fijoalajoalana, ijoalajoalana, mijoalajoala",J
jobo,"ajobo, mampañajobo, pañajobo, pijobo, voajobo",J
jobo,"anajoboana, fanajobo, fanajoboana, joboina, manajobo, mpanajobo",J
jobona,"fijobona, fijobonana, ijobonana, jobonina, mahajobona, mijobona, mpijobona, voajobona",J
jofo,"ajofo, anjofoana, fanjofo, fanjofoana, fijofo, fijofoana, ijofoana, jofoana, jofoina, jofojofo, mahajofo, mampijofo, manjofo, mifampijofo, mifanjofo, mijofo, mpanjofo, mpijofo, tafajofo, voajofo",J
johary,manajohary,J
johy,"fijohy, johijohy, mahajohy, mijohy, tafajohy",J
johijohy,"fijohijohy, fijohijohiana, ijohijohiana, mijohijohy",J
joy,"ajoy, fijoy, fijoina, ijoina, joijoy, mahajoy, mijoy, tafajoy",J
joijoy,mijoijoy,J
jojo,"ajojo, fijojo, fijojoana, ijojoana, jojojojo, mijojo, mpijojo, tafajojo",J
jojojojo,mijojojojo,J
jokaiky,"ajokaiky, fijokaikena, fijokaiky, ijokaikena, mahajokaiky, manjokaiky, mijokaiky, mpijokaiky, tafajokaiky",J
jokajoka,"fijokajoka, majokajoka, mijokajoka",J
joko,"ajoko, anjokoana, fanjoko, fanjokoana, fijoko, fijokoana, ijokoana, jokoina, jokojoko, mahajoko, mampijoko, mifampijoko, mpanjoko, mpijoko, voajoko",J
joko,"manjoko, mihajoko",J
jokojoko,"jokojokoina, manjokojoko, mijokojoko",J
jokoke,"fijokoke, mahajokoke, mampijokoke, mihajokoke, mijokoke, pijokoke",J
jolo,"ajolo, fijolo, jolojolo, mijolo",J
joloka,"ajoloka, anjolohana, fanjolohana, fanjoloka, fijolohana, fijoloka, ijolohana, jolohana, jolojoloka, mahajoloka, manjoloka, mijoloka, mpanjoloka, mpijoloka, tafajoloka, voajoloka",J
jolonjolona,"ajolonjolona, fijolonjolona, fijolonjolonana, ijolonjolonana, jolonjolonana, jolonjolonina, mahajolonjolona, mampijolonjolona, mifampijolonjolona, mijolonjolona, mpijolonjolona, tafajolonjolona",J
jombona,"anjombonana, fanjombona, jombonjombona, manjombona",J
jombonjombona,manjombonjombona,J
jomo,"fijomo, fijomoana, ijomoana, jomoina, jomojomo, mahajomo, mampijomo, mifampijomo, mijomojomo, mpijomo, voajomo",J
jomojomo,"fijomojomo, fijomojomoana, jomojomoina, mahajomojomo, mampijomojomo, mifampijomojomo, voajomojomo",J
jomòka,"ajomòka, fijomòka, jomohina",J
jomotra,manjomotra,J
jonetra,"fanjonetra, fijonetra, manjonetra, mijonetra, mpanjonetra, mpijonetra",J
jongy,"ajongy, anjongiana, fanjongy, fanjongiana, jongina, mahajongy, manjongy, mpanjongy, voajongy",J
jongijongy,"ajongijongy, fijongijongy, fijongijongiana, ijongijongiana, mahajongijongy, mijongijongy, mpijongijongy, tafajongijongy",J
jongojongo,"fijongojongo, mahajongojongo, mijongojongo, mpijongojongo",J
jony,"anjoniana, fanjony, fanjoniana, jonijony, manjony, mpanjony",J
jonina,manjonina,J
jonitra,"fanjonitra, jonijonitra, manjonitra, mpanjonitra",J
jonjona,"ajonjona, fanjonjonana, fijonjona, fijonjonana, ijonjonana, jonjonjonjona, mahajonjona, mijonjona, tafajonjona",J
jono,"ajono, anjonoana, fanjono, fanjonoana, jonoina, jonojono, mahajono, mampanjono, mampifanjono, manjono, mifanjono, mpanjono, voajono",J
jonoke,fanjonoke,J
jononoka,"ajononoka, fijononohana, fijononoka, ijononohana, jononohina, mahajononoka, mampijononoka, mijononoka, tafajononoka",J
jopelaka,"fanjopelaka, jopelapelaka, manjopelaka",J
jopelana,"fanjopelana, jopelapelana, manjopelana",J
jopiaka,"fanjopiaka, jopiapiaka, manjopiaka",J
jorefo,mijorefo,J
joretra,"ajoretra, fanjoretra, fijoretra, mahajoretra, manjoretra, mijoretra, mpanjoretra",J
joro,"fijoroana, joroana, mijorojoro",J
joro,mijoro,J
joro,"ajoro, ampijoroina, fampijoroana, fijoro, fijoroana, ijoroana, jorojoro, mahajoro, mampijoro, mijoro, mijoro, mpijoro, tafajoro, voajoro",J
joroboka,"fanajorobohana, fanajoroboka, mijoroboka",J
josy,"ajosy, mahajosy, mampijosy, mañajosy, mijosy, pañajosy, pijosy, voajosy",J
kabaka,mikabaka,K
kabary,"akabary, fikabary, fikabariana, ikabariana, kabaribary, kabarina, mahakabary, mampikabary, mifampikabary, mikabary, mpikabary, pikabary, voakabary",K
kabaro,mpikabaro,K
kabedy,"fikabedena, fikabedesana, fikabedy, hakabedy, ikabedena, ikabedesana, ikabedibedy, kabedesina, mahakabedy, mampikabedy, mifampikabedy, mikabedy, mpikabedy, tafakabedy, voakabedy",K
kaboke,"akaboke, fakaboke, mahakaboke, mampañaboke, mampikaboke, mañakaboke, mifampañaboke, mifañaboke, mikaboke, pañaboke, pifañaboke, pikaboke",K
kadaha,mikadaha,K
kady,"akady, anakadiana, fanakady, fanakadiana, fikady, fikadiana, ikadiana, kadina, kinady, mahakady, manakady, mikady, mpanakady, mpikady, voakady",K
kafana,"mampikafana, mifampikafana",K
kafana,"kafankafana, mikafana",K
kafankafana,"akafankafana, fikafankafana, fikafankafanana, ikafankafanana, kafankafanina, mahakafankafana, mampikafankafana, mifampikafankafana, mikafankafana, mpikafankafana, tafakafankafana",K
kafara,"mampikafara, mifampikafara",K
kafara,"fikafara, fikafarana, ikafarana, kafarafara, mahakafara, mikafara, mpikafara, tafakafara",K
kafira,mahakafira,K
kafiry,"kafirifiry, mikafiry",K
kafitse,fakafitse,K
kaforo,"fikaforo, fikaforoana, ikaforoana, kaforoforo, mahakaforo, mikaforo, mpikaforo",K
kaforoforo,mikaforoforo,K
kahana,"kahankahana, mampikahana, mifampikahana",K
kahankahana,kahankanina,K
kahankahana,"akahankahana, fikahankahana, fikahankahanana, ikahankahanana, kahankahanina, mahakahankahana, mampikahankahana, mifampikahankahana, mikahankahana, mpikahankahana, tafakahankahana, voakahankahana",K
kahonkahona,tsikahonkahona,K
kahonkahona,"fikahonkahona, fikahonkahonana, ikahonkahonana, mahakahonkahona, mikahonkahona, mpikahonkahona",K
kaika,"fikaihana, fikaika, ikaihana, kaihina, kaikaika, mampikaika, mifampikaika, mikaika, mikaika, mpikaika",K
kaikaika,"fikaikaihana, fikaikaika, ikaikaihana, mahakaikaika, mampikaikaika, mikaikaika, mpikaikaika",K
kaiky,mikaiky,K
kaikitra,"akaikitra, anaikerana, fanaikerana, fanaikitra, kaikerina, kaikikaikitra, kinaikitra, mahakaikitra, mampankaikitra, manaikitra, mifankaikitra, mpanaikitra, voakaikitra",K
kainkona,"akainkona, anakainkonana, fanakainkona, fanakainkonana, fikainkona, fikainkonana, ikainkonana, kainkonkainkona, mahakainkona, mampikainkona, manakainkona, mikainkona, mpanakainkona, tafakainkona, voakainkona",K
kajakaja,"fikajakaja, fikajakajana, ikajakajana, kajakajaina, kinajakaja, mahakajakaja, mampikajakaja, manajakaja, manakajakaja, mifampikajakaja, mikajakaja, mpikajakaja, voakajakaja",K
kajy,"fikajy, fikajiana, ikajiana, kajikajy, kajina, kinajy, mahakajy, mampikajy, mifampikajy, mikajy, mpikajy, voakajy",K
kajikajy,mikajikajy,K
kaka,"fikakana, fikakana, makaka, savalikaka",K
kaka,"akaka, anakakana, fanakaka, fanakakana, fikaka, ikakana, kakakaka, kakana, kinaka, mahakaka, manakaka, mikaka, mpanakaka, mpikaka, sokàka, voakaka",K
kakàka,"fikakàka, mikakàka, mpikakaka",K
kakakaka,"akakakaka, fikakakaka, fikakakakana, ikakakakana, mahakakakaka, mikakakaka, mpikakakaka, tsikakakaka",K
kakakaka,makakakaka,K
kalamina,"manakalamina, mikalamina",K
kaleva,"kalevaina, mikaleva",K
kaly,"fikaly, fikaliana, ikaliana, kalikaly, kalina, kinaly, mahakaly, mikaly, mpikaly, voakaly",K
kalita,"fikalita, fikalitana, ikalitana, kalitaina, kalitalita, mahakalita, mikalita, mpikalita",K
kalo,tokalo,K
kalo,"fikalo, fikaloana, ikaloana, kaloina, kalokalo, kinalo, mahakalo, mikalo, mpikalo, voakalo",K
kalokalo,mikalokalo,K
kama,mikama,K
kama,mikama,K
kamaosy,"fikamaosy, fikamaosiana, ikamaosiana, mikamaosy, mpikamaosy",K
kambana,"mikambana, mikambana",K
kambana,"akambana, anakambanana, fanakambana, fanakambanana, fikambana, fikambanana, ikambanana, kambakambana, mahakambana, mampikambana, manakambana, mifampikambana, mpampikambana, mpanakambana, mpikambana, tafakambana, voakambana",K
kambo,kamboina,K
kamboty,"fahakambotiana, fikamboty, fikambotiana, ikambotiana, kambotimboty, mahakamboty, mikamboty, mpikamboty",K
kamenona,"fikamenona, fikamenonana, ikamenonana, kamenonina, mahakamenona, mampikamenona, mifampikamenona, mikamenona, mpikamenona, voakamenona",K
kamentsona,"fikamentsona, fikamentsonana, ikamentsonana, kamentsomentsona, kamentsonina, karamentsona, mahakamentsona, mampikamentsona, mifampikamentsona, mikamentsona, mpikamentsona, tafakamentsona, voakamentsona",K
kamo,tsikamokamo,K
kamo,"anakamoana, fahakamoana, fanakamo, fanakamoana, hakamoana, kamoina, kamokamo, mahakamo, mampanakamo, mampifanakamo, manakamo, mifanakamo, mpanakamo",K
kamositra,"akamositra, anakamoserana, fanakamoserana, fanakamositra, kamoserina, manakamositra, mpanakamositra, voakamositra",K
kanda,mikanda,K
kandy,"kandikandy, mikandy",K
kandikandy,mahakandikandy,K
kandikandy,mikandikandy,K
kandrakandra,"akandrakandra, fikandrakandra, ikandrakandrana, mampampikandrakandra, mampikandrakandra, mikandrakandra, mpikandrakandra",K
kandrana,"kandrankandrana, mikandrana",K
kandrankandrana,"manandrankandrana, mikandrankandrana",K
kanevoka,kanevokevoka,K
kanevokevoka,mikanevokevoka,K
kanikany,"akanikany, fikanikany, fikanikaniana, ikanikaniana, kanikanina, mahakanikany, mikanikany, mpikanikany, tafakanikany",K
kanina,tsikanina,K
kanja,"mikanja, mikanja",K
kanjy,mikanjy,K
kanjo,kinanjo,K
kankana,kankanina,K
kanonkanona,"fikanonkanona, fikanonkanonana, ikanonkanonana, mahakanonkanona, mikanonkanona, mpikanonkanona",K
kanosa,fahakanosana,K
kanto,"hakanto, hakantoana, mpanakanto, mpikanto",K
kantsana,"akantsana, anakantsanana, fanakantsana, fanakantsanana, fikantsana, fikantsanana, ikantsanana, kantsanana, kantsañina, kantsankantsana, kinantsana, mahakantsana, manakantsana, mikantsana, mpanakantsana, mpikantsana, voakantsana",K
kantsona,"fikantsona, kantsonkantsona, mikantsona",K
kaody,"fikaodikaody, kaodikaody, mampikaody, mifampikaody",K
kaodikaody,"fahakaodikaodiana, fikaodikaodiana, ikaodikaodiana, mahakaodikaody, mikaodikaody, mpikaodikaody",K
kaoka,"akaoka, fikaohana, fikaoka, ikaohana, kaohina, kaokaoka, kinaoka, mahakaoka, mikaoka, mpikaoka, voakaoka",K
kaoke,"akaoke, mahakaoke, mampikaoke, mikaoke, pikaoke, voakaoke",K
kaona,"akaona, anakaonana, fanakaona, fanakaonana, fikaona, fikaonana, ikaonana, mahakaona, mampanakaona, mampifanakaona, manakaona, mifanakaona, mikaona, mpanakaona, mpikaona, tafakaona, voakaona",K
kaondrana,mihakaondrana,K
kaonkaona,"fikaonkaona, fikaonkaonana, ikaonkaonana, mahakaonkaona, mampikaonkaona, mifampikaonkaona, mikaonkaona, mpikaonkaona, tafakaonkaona",K
kaonty,"fikaonty, fikaontiana, ikaontiana, kaontina, mikaonty, mpikaonty, voakaonty",K
kaozatra,"kaozatina, mikaozatra",K
kapa,"akapa, fikapa, kinapa, mampikapa, mifampikapa, mikapa, mikapa, pikapa, voakapa",K
kapa,"fikapana, ikapana, kapaina, kapakapa, mpikapa",K
kapaike,mihakapaike,K
kapakapa,"mikapakapa, mikapakapa",K
kapake,"akapake, fikapake, mahakapake, mampikapake, mikapake, voakapake",K
kapaoty,mikapaoty,K
kapetoke,"fikapetoke, mampikapetoke, mikapetoke",K
kapetsy,"fikapetsena, fikapetsy, ikapetsena, mampikapetsy, mifampikapetsy, mikapetsy, mpikapetsy",K
kapy,kapikapy,K
kapike,"akapike, fakapike, mikapike, pikapike, voakapike",K
kapily,"fikapily, fikapilipily, kapilipily, mikapily, mpikapily, mpikapilipily",K
kapilipily,"fikapilipiliana, ikapilipiliana, mahakapilipily, mikapilipily",K
kapoake,"fikapoake, mampañapoake, mañapoake, mikapoake, pañapoake, voakapoake",K
kapoka,"fikapohana, fikapohana, fikapoka",K
kapoka,"akapoka, anakapohana, fanakapohana, fanakapoka, fiankapohana, fiankapoka, fifampikapohana, iankapohana, ikapohana, kapohina, kapokapoka, karapoka, kinapoka, mahakapoka, mampanakapoka, mampifanakapoka, mampikapoka, manakapoka, miankapoka, mifampikapoka, mifanakapoka, mikapoka, mpanakapoka, mpiankapoka, mpikapoka, tafakapoka, voakapoka",K
kapokapoka,akapokapoka,K
kapoke,"akapoke, mampikapoke, mifampikapoke, mikapoke, pifampikapoke, pikapoke, voakapoke",K
kara,"ampikara, fampikara, fifampikara, fikara, mahakara, mampikara, pikara, voakara",K
karaboka,mikaraboka,K
karaingo,"fikaraingo, mahakaraingo, mikaraingo",K
karainkona,"anakarainkonana, fanakarainkona, fanakarainkonana, fikarainkona, fikarainkonana, ikarainkonana, karainkondrainkona, mahakarainkona, mampikarainkona, manakarainkona, mikarainkona, mpanakarainkona, mpikarainkona",K
karaka,"fikaraka, mikaràka",K
karakadisake,"mampikarakadisake, mikarakadisake",K
karakara,fikarakara,K
karakara,"fahakarakarana, fikarakarana, ikarakarana, karakaraina, kinarakara, mahakarakara, makarakara, mampikarakara, mifampikarakara, mikarakara, mpikarakara, voakarakara",K
karama,"akarama, ampañarama, anakaramana, anaramana, fampañarama, fanakarama, fanakaramana, fanarama, fanaramana, fikarama, fikaramana, ikaramana, karamaina, karamarama, mahakarama, mampanakarama, mampañarama, mampifanakarama, manakarama, manarama, mifanakarama, mifañarama, mikarama, mpanakarama, mpanarama, mpikarama, pañarama, pikarama, voakarama",K
karamentsona,"karamentsonina, mikaramentsona",K
karantsana,fikarantsanana,K
karantsana,"fikarantsana, ikarantsanana, karantsandrantsana, mikarantsana, mpikarantsana",K
karaoka,"fikaraoka, karaodraoka, mikaraoka, mpikaraoka",K
karapaky,"karapahy, mikarapaka, mikarapaky",K
karapoka,"fiankarapoka, fikarapohana, fikarapoka, ikarapohana, karapodrapoka, mahakarapoka, miankarapoka, mikarapoka, mpiankarapoka, mpikarapoka",K
kararana,"akararana, anakararanana, fanakararana, fanakararanana, fikararana, kararanana, mahakararana, mampanakararana, mampifanakararana, manakararàna, mifanakararana, mpanakararana, mpikararana, voakararana",K
karariana,mikarariana,K
karatake,"akaratake, fikaratake, mahakaratake, mampikaratake, mihamikaratake, mikaratake, pikaratake, voakaratake",K
karatona,manakaratona,K
karatsaka,"fikaratsahana, fikaratsaka, ikaratsahana, karatsadratsaka, mikaratadrataka, mikaratsaka, mpikaratsaka",K
karatsake,mikaratsake,K
karavasy,"karavasina, mikaravasy, voakaravasy",K
karenatse,"mahakareñatse, mikareñatse",K
karenjy,"akarenjy, anakarenjena, fanakarenjena, fanakarenjy, fikarenjena, fikarenjy, ikarenjena, karenjena, karenjirenjy, mahakarenjy, mampanakarenjy, manakarenjy, mifanakarenjy, mikarenjy, mpanakarenjy, mpikarenjy, tafakarenjy, voakarenjy",K
karepoka,"akarepoka, fikarepohana, fikarepoka, ikarepohana, karepodrepoka, karepohina, mahakarepoka, manakarepoka, mikarepoka, mpikarepoka, voakarepoka",K
karepoke,"akarepoke, fikarepoke, mampikarepoke, mikarepoke, pikarepoke, voakarepoke",K
karetoka,"akaretoka, fikaretohana, fikaretoka, ikaretohana, karetodretoka, karetohina, mahakaretoka, manakaretoka, mikaretoka, mpikaretoka, tafakaretoka, voakaretoka",K
karetsaka,mpifanaretsaka,K
karetsaka,"akaretsaka, fifanaretsahana, fifanaretsaka, fikaretsahana, fikaretsaka, ifanaretsahana, ikaretsahana, karetsadretsaka, karetsahina, mahakaretsaka, mifanaretsaka, mikaretsaka, mpikaretsaka, tafakaretsaka, voakaretsaka",K
karetsika,mikaretsika,K
karikarike,"akarikarike, fikarikarike, mampikarikarike, mikarikarike, pikarikarike",K
karioke,"akarioke, mampikarioke, pikarioke, voakarioke",K
karoka,"fikaroka, kinaroka",K
karoka,"akaroka, fikarohana, ikarohana, karofana, karohina, karokaroka, mahakaroka, mampikaroka, mifampikaroka, mikaroka, mpikaroka, tafakaroka, tsikaroka, tsikaroka, voakaroka",K
kasa,fikasa,K
kasa,"akasa, fikasana, ikasana, kasaina, kasakasa, kinasa, mahakasa, mikasa, mpikasa, voakasa",K
kasaoka,mikasaotsaoka,K
kasaoka,"akasaoka, fikasaoka, kasaosaoka, kasaotsaoka, makasaoka, mikasaoka",K
kasy,"akasy, kasikasy, mahakasy",K
kasika,"fikasihana, fikasika",K
kasika,"akasika, fikasihana, ifampikasihana, ikasihana, kasihina, kasikasika, kinasika, mahakasika, mifampikasika, mikasika, mpikasika, tafakasika, voakasika",K
kasikasy,"akasikasy, fahakasikasiana, fikasikasy, fikasikasiana, ikasikasiana, mahakasikasy, mikasikasy, mpikasikasy",K
kasikasika,mikasikasika,K
